segment,t0,dur,Ax,Ay
0,0.09113218968209222,0.6824612561685647,-0.0942802753291383,0.04943943429936012
0,0.19,0.3432634210297034,0.024386543333048093,-0.01710683603207681
0,0.29000000000000004,0.7876485461750588,0.099049561939715,-0.06847614150777191
0,0.39,0.8067811323287983,-0.028820184871406668,0.03465840501145211
1,1.4400000000000002,0.23607153226418484,0.012247677100334198,-0.004866874188750749
1,1.54,0.500085967501437,0.028266198821715834,-0.010433076308776138
1,1.64,0.8836192441476391,-0.03981434093294291,-0.003577645417768574
1,1.7400000000000002,0.6720777636329113,0.029052950979224373,0.015321068658938595
1,1.84,0.35684820754679886,-0.02654641404692874,-0.00061233314056748
1,1.94,1.3,-0.007106211928159058,0.008135941793093092
2,2.93,0.42560026045659666,-0.04370434821834143,0.03336472996135625
2,3.0300000000000002,1.0267519780821408,0.17608704823475732,-0.13689606975645452
2,3.1300000000000003,0.3144835512248406,-0.02569646354281918,0.021164075250413188
2,3.2300000000000004,0.3407357363520491,-0.05646688219869641,0.0372015051047013
2,3.33,0.5417712886420323,-0.05047495144048114,0.04238076657853308
3,4.534160972613936,0.6258166228376335,0.09503337103323586,-0.04475468787590019
3,4.634160972613936,0.420141626788705,-0.03648236490609519,0.005157630557489809
3,4.734160972613936,0.7100126271243958,0.0166828224520996,0.025727207715595533
3,4.834160972613936,1.4867782425123193,-0.03825789107092774,0.035903284442358116
3,4.934160972613936,0.49356565162055727,-0.06812652313772065,-0.008151012894796937
3,5.034160972613936,0.42377906015076144,0.07859540798006552,-0.012473594426665712
3,5.134160972613936,0.573154337928158,-0.04826690218342041,0.001909236502190471
4,6.4,0.5,-0.016260166005552603,0.026314864183195178
4,6.5,0.2989387613504795,0.012637009641818405,-0.007030023223805632
4,6.6000000000000005,0.3521766555328109,3.0298917924069776e-05,0.009514691044808054
5,6.92,0.2390436855036033,-0.0016096385473407767,-0.008188842004759578
5,7.02,0.52,0.012020070406857233,-0.043016379277764756
5,7.12,0.4180778845781069,-0.007015121947816116,0.02379723852639726
6,7.830565805331419,0.7090157370564834,0.02493320704260566,0.03741557830658119
6,7.93056580533142,0.6416154341181144,-0.03489304093844789,-0.023736329370211334
6,8.03056580533142,0.2269651958180589,0.004267285159475915,0.005431938310313304
6,8.13056580533142,0.15000000000000002,0.005191073202633827,0.003190267738701411
6,8.23056580533142,0.8102865875211527,0.0217159581962284,-0.061382960037394074
6,8.33056580533142,0.35073797646156224,-0.009666795664326986,0.00776397663574028
6,8.430565805331419,0.5563504052267535,-0.012764015917758777,0.03134453181082529
