time,pos_x,pos_y
0,0.000666756,3.17E-05
0.004079,0.000666756,3.17E-05
0.008157,0.000666756,3.17E-05
0.012259,0.000666756,3.17E-05
0.016415,0.000666756,6.35E-05
0.020427,0.000666756,6.35E-05
0.024479,0.000666756,6.35E-05
0.028557,0.000666756,6.35E-05
0.032637,0.000666756,6.35E-05
0.036716,0.000666756,6.35E-05
0.040794,0.000666756,6.35E-05
0.044874,0.000666756,6.35E-05
0.048952,0.000666756,6.35E-05
0.053032,0.000666756,6.35E-05
0.057111,0.000666756,6.35E-05
0.06119,0.000666756,6.35E-05
0.06527,0.000666756,6.35E-05
0.069348,0.000666756,6.35E-05
0.073581,0.000666756,6.35E-05
0.077577,0.000666756,3.17E-05
0.081658,0.00063501,3.17E-05
0.085842,0.00063501,-1.20E-08
0.0898,0.00057151,-6.35E-05
0.093886,0.000539764,-6.35E-05
0.097967,0.000508018,-6.35E-05
0.102045,0.000476273,-9.53E-05
0.106125,0.000444527,-9.53E-05
0.110213,0.000444527,-0.000127012
0.114288,0.000381035,-0.000127012
0.11837,0.000349281,-0.000127012
0.122447,0.000285774,-0.000127012
0.126528,0.000254036,-0.000127012
0.130612,0.000190529,-9.53E-05
0.134687,0.000127029,-6.35E-05
0.138767,6.35E-05,-3.18E-05
0.142848,-3.17E-05,3.17E-05
0.146928,-0.000126968,9.52E-05
0.151007,-0.000253967,0.000158738
0.155085,-0.000349213,0.000253988
0.159306,-0.000507957,0.000349238
0.163249,-0.000698471,0.000476238
0.16733,-0.000888962,0.000603238
0.17141,-0.001111198,0.000730238
0.175487,-0.001301712,0.000857238
0.17957,-0.001555717,0.001015988
0.183647,-0.001841461,0.001174738
0.187728,-0.002095467,0.001333488
0.191808,-0.002349457,0.001492238
0.195887,-0.002635208,0.001714488
0.199967,-0.002889214,0.001873238
0.204046,-0.003143211,0.002031988
0.208127,-0.003460709,0.002254238
0.212253,-0.003746452,0.002444738
0.216285,-0.004127472,0.002698738
0.220366,-0.004413216,0.002857488
0.224446,-0.004698967,0.003047988
0.228525,-0.005048203,0.003270238
0.232605,-0.005333954,0.003460738
0.236689,-0.005683189,0.003651238
0.240767,-0.006032455,0.003873488
0.244854,-0.006318199,0.004063988
0.248933,-0.006635704,0.004254488
0.253014,-0.007016701,0.004476738
0.257099,-0.007302437,0.004667238
0.261322,-0.007619949,0.004857738
0.265417,-0.0080327,0.005079988
0.269425,-0.008350197,0.005270489
0.273455,-0.008699448,0.005492738
0.277531,-0.008985199,0.005651487
0.281677,-0.009302704,0.005810237
0.285666,-0.009651947,0.005968987
0.289743,-0.009937691,0.006127737
0.293838,-0.010223442,0.006254737
0.297915,-0.010572678,0.006413487
0.301991,-0.010826683,0.006540488
0.306071,-0.011112434,0.006667487
0.310306,-0.011429939,0.006794487
0.314234,-0.01200145,0.007016737
0.318312,-0.012318939,0.007143738
0.32239,-0.012572945,0.007238989
0.32647,-0.01282695,0.007334238
0.330547,-0.01314444,0.007429491
0.334628,-0.013398438,0.00749299
0.338708,-0.01371595,0.007556489
0.342785,-0.014001694,0.007619989
0.346869,-0.014287445,0.00768349
0.350945,-0.01460495,0.00771524
0.355026,-0.014954193,0.00777874
0.359106,-0.015239937,0.007810491
0.363292,-0.015557434,0.007873991
0.367268,-0.016001945,0.00790574
0.371349,-0.016319435,0.007969242
0.375425,-0.016700447,0.008000991
0.379506,-0.017017952,0.008064492
0.383583,-0.017398949,0.008096241
0.387665,-0.017811699,0.008127993
0.391744,-0.018129196,0.008159741
0.395826,-0.018510208,0.008223242
0.399907,-0.018922943,0.008254993
0.403984,-0.019240448,0.008286742
0.408065,-0.019621452,0.008350243
0.412268,-0.020034203,0.008381994
0.416228,-0.020351707,0.008413744
0.420308,-0.020764442,0.008477243
0.424384,-0.021081955,0.008508993
0.428466,-0.021431206,0.008540744
0.432545,-0.021780449,0.008572495
0.436623,-0.022097939,0.008604244
0.440704,-0.022415451,0.008635994
0.444782,-0.022764709,0.008667744
0.448865,-0.023050453,0.008699494
0.452951,-0.023399696,0.008731245
0.457027,-0.023748932,0.008762996
0.461448,-0.024066444,0.008794745
0.463354,-0.024066444,0.008794745
0.465365,-0.024542686,0.008858245
0.469272,-0.024860191,0.008921744
0.473425,-0.025241196,0.008953497
0.477504,-0.025653938,0.009016997
0.481571,-0.026034946,0.009112247
0.485599,-0.026447697,0.009175747
0.489729,-0.026923939,0.009270996
0.493768,-0.027304951,0.009334496
0.497894,-0.027812946,0.009429747
0.50193,-0.028289192,0.009524998
0.506054,-0.028701942,0.009620249
0.510088,-0.029146454,0.009715499
0.514237,-0.029654449,0.009810749
0.518249,-0.030130695,0.009906001
0.522366,-0.030606934,0.01000125
0.52641,-0.030924442,0.010096499
0.530523,-0.031273701,0.010191751
0.53457,-0.03162294,0.010318749
0.538683,-0.031908691,0.010414001
0.542729,-0.032162689,0.010509252
0.546841,-0.032384945,0.010604501
0.550889,-0.032543678,0.010668002
0.554999,-0.032670692,0.010763251
0.559049,-0.03276593,0.010826753
0.56323,-0.03279768,0.010858503
0.567232,-0.032829441,0.010890252
0.571321,-0.032829441,0.010922003
0.575389,-0.032829441,0.010922003
0.579492,-0.03276593,0.010922003
0.583548,-0.032734184,0.010922003
0.58765,-0.032638943,0.010922003
0.591706,-0.032575439,0.010922003
0.595771,-0.032480186,0.010922003
0.599846,-0.032353199,0.010922003
0.603911,-0.032162689,0.010858503
0.607983,-0.03203569,0.010826752
0.612054,-0.031813442,0.010763251
0.616179,-0.031591198,0.010668002
0.620271,-0.031368938,0.010604502
0.624281,-0.031051445,0.010445751
0.628359,-0.030829193,0.010350502
0.632434,-0.0305117,0.010223501
0.636512,-0.030225948,0.010064753
0.640592,-0.029908455,0.009937751
0.644685,-0.029590946,0.009779002
0.648764,-0.029241695,0.009556752
0.652846,-0.028924194,0.009398002
0.656977,-0.028543194,0.009175752
0.661083,-0.028162197,0.008953503
0.665084,-0.027812946,0.008731253
0.669492,-0.027400192,0.008477252
0.673459,-0.026892185,0.008128002
0.677341,-0.025939697,0.007556502
0.681421,-0.025495193,0.007239003
0.685501,-0.02505069,0.006953253
0.689583,-0.024574448,0.006667503
0.693661,-0.024034698,0.006318253
0.697736,-0.023590202,0.006032503
0.701816,-0.023050453,0.005683252
0.705893,-0.022478943,0.005365753
0.709973,-0.022002701,0.005048253
0.714053,-0.02143119,0.004699002
0.718257,-0.020827934,0.004349752
0.722219,-0.020319931,0.004064002
0.726302,-0.019684944,0.003714752
0.730375,-0.019145195,0.003429002
0.734456,-0.018541946,0.003079752
0.738534,-0.017875191,0.002730502
0.742613,-0.017271942,0.002413001
0.746695,-0.016668694,0.002095501
0.750773,-0.0159702,0.001714502
0.754942,-0.01543045,0.001428752
0.758938,-0.014795433,0.001143002
0.763019,-0.0141287,0.000793752
0.767099,-0.013525436,0.000508002
0.771281,-0.01292218,0.000222252
0.775268,-0.012160179,-0.000126999
0.779344,-0.011588684,-0.000412749
0.783425,-0.010953682,-0.000698499
0.787504,-0.010445679,-0.000952499
0.791581,-0.009874176,-0.001238248
0.795662,-0.009270927,-0.001523998
0.79974,-0.008794678,-0.001714499
0.803831,-0.008286674,-0.001968499
0.80791,-0.007746925,-0.002190749
0.811988,-0.007302429,-0.002381249
0.816068,-0.006826187,-0.002603499
0.820323,-0.006318184,-0.002793998
0.824233,-0.005429184,-0.003143249
0.828313,-0.004952942,-0.003333749
0.832487,-0.004603683,-0.003428999
0.83661,-0.004159187,-0.003555999
0.840592,-0.003778168,-0.003682999
0.844665,-0.003397186,-0.003746498
0.848743,-0.003047928,-0.003841748
0.852835,-0.002635178,-0.003905248
0.85702,-0.002349442,-0.003968748
0.860995,-0.001968437,-0.004032248
0.865071,-0.001619179,-0.004063998
0.869477,-0.001333427,-0.004127498
0.873242,-0.0009207,-0.004159248
0.877322,-0.000666695,-0.004190999
0.881404,-0.00034919,-0.004190999
0.885476,-6.34E-05,-0.004222749
0.889557,0.000190559,-0.004222748
0.893632,0.000444565,-0.004222749
0.897711,0.000698563,-0.004222749
0.901793,0.000920807,-0.004222749
0.905872,0.001111313,-0.004222748
0.909951,0.001333565,-0.004222749
0.914032,0.001492302,-0.004190999
0.918109,0.001682816,-0.004159248
0.922278,0.001841537,-0.004127497
0.926273,0.002032051,-0.004063997
0.930353,0.002190796,-0.004000499
0.934434,0.002317802,-0.003968748
0.93851,0.002444786,-0.003936998
0.942591,0.002571785,-0.003873498
0.94667,0.002667023,-0.003809998
0.950751,0.002762268,-0.003746499
0.95483,0.002857506,-0.003682998
